Trial ID,advanced,blood,breast,breast cancer,cancer,cancer patients,cell,cells,chemotherapy,clinical,combination,determine,different,disease,dose,effects,efficacy,evaluate,growth,ii,lung,lung cancer,metastatic,participants,patient,patients,phase,primary,prostate,purpose,purpose study,radiation,randomized,response,safety,stage,standard,stop,studies,study,surgery,survival,therapy,treating,treatment,trial,tumor,tumor cells,tumors,used
NCT02458040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6679230450400496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442303446544141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01234740,0.0,0.0,0.0,0.0,0.0,0.0,0.2557490383745032,0.24708769106176184,0.0,0.2246661243872183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5923632016159659,0.0,0.0,0.0,0.0,0.0,0.0,0.1280022735364764,0.0,0.0,0.0,0.2106693887591513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30781226743477236,0.2802089479421993,0.0,0.0,0.0,0.0,0.2710378384417851,0.0,0.19592454230096737,0.21302018323415992,0.2844537180832211,0.0,0.0
NCT00514540,0.18243182181854337,0.0,0.0,0.0,0.19366189684413476,0.2244058967962402,0.0,0.0,0.36520962308312493,0.18055646978719847,0.0,0.0,0.0,0.22615226501962452,0.0,0.21999928806457814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4114841736379974,0.0,0.0,0.5118315905142373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20118426027844818,0.0,0.23505038260034103,0.0,0.0,0.29379901486829485,0.0,0.0,0.0,0.0,0.0
NCT01329640,0.3137205842842945,0.0,0.34204476188572025,0.3526309290720503,0.1665162437833288,0.0,0.0,0.0,0.31401806767529367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3147649897185384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29115169082585685,0.3653647643434607,0.0,0.0,0.0,0.293643047846878,0.0,0.0,0.0,0.0,0.1729841950110453,0.0,0.0,0.31688122275541597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00424840,0.0,0.0,0.0,0.0,0.09503323632041913,0.0,0.2017208569170057,0.0,0.0,0.0,0.6023564508739848,0.0,0.0,0.0,0.0,0.0,0.18694032791354873,0.0,0.0,0.21049526449217967,0.22788009894242084,0.23824596592906655,0.20338886041689333,0.0,0.0,0.20192238820693192,0.1580100929508507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16758634788922835,0.0,0.2258476098628145,0.0,0.22101349609746268,0.09872458992993449,0.0,0.0,0.3616974229469592,0.0,0.0,0.15453456566334997,0.0,0.0,0.0,0.0
NCT00812240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6511981092053547,0.0,0.7589077826504159,0.0,0.0,0.0
NCT01744340,0.0,0.0,0.0,0.0,0.3128307859665007,0.0,0.0,0.0,0.0,0.0,0.3304732274989929,0.3404560571258803,0.0,0.0,0.6767763186291609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27349047218193145,0.34320179160044595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16249099924299873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05202340,0.0,0.0,0.0,0.0,0.1790156173835629,0.4148690146500306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3803644113155459,0.0,0.0,0.4731227446670139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5579072365059182,0.0,0.0,0.3406675915812271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05046444,0.0,0.9179431143632855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39671203509980946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06524544,0.3345428375514974,0.0,0.0,0.0,0.2663523824270805,0.0,0.0,0.36414781928189144,0.16743003275062754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38002920261507617,0.0,0.0,0.18864456003913604,0.1476198094285066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3994445752734126,0.0,0.1443728226932731,0.31394050773803506,0.4192163546533741,0.0,0.0
NCT03806244,0.0,0.0,0.0,0.0,0.3140550606172897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5936570251661726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7409053619535501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05973344,0.0,0.7642030532954588,0.0,0.0,0.10362586338883367,0.24015312442975456,0.0,0.21251057619830613,0.19541873299092144,0.0,0.21893991936039667,0.0,0.24219426327591734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2494273845101251,0.0,0.11008980976365365,0.0,0.0,0.0,0.181188601504887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10765097838723058,0.0,0.0,0.19720052262569038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03320044,0.0,0.7927231557371824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095818225292507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01575444,0.0,0.0,0.0,0.0,0.6390837853180484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7691371238885524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03277144,0.0,0.0,0.0,0.0,0.5238376939626637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851818097004213,0.0,0.0,0.0,0.0
NCT03963544,0.10995281155197517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21764505006970003,0.0,0.0,0.0,0.13630339888009382,0.0,0.0,0.0,0.0,0.0,0.12926672326430055,0.0,0.0,0.3747078814050297,0.0,0.0,0.3100051388351051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2753638131442998,0.2833327011225187,0.0,0.0,0.6197608283403168,0.09490083771036711,0.2063630579479257,0.0,0.24589754091864843,0.12837333000894577
NCT06251544,0.0,0.06772067859692403,0.0848827706520435,0.08750986307236731,0.1928412729196288,0.031922142583876975,0.02923797153838144,0.9604245608843934,0.0,0.02568448269530943,0.0,0.0,0.06438691833511678,0.03217056660582433,0.02979940699595141,0.03129529456316208,0.0,0.0,0.0,0.0,0.0,0.0,0.029479736517972522,0.0,0.0,0.05853436406712562,0.0,0.0,0.0,0.02408433529876512,0.030223308907607865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04292823451118002,0.0,0.0,0.0262127058135097,0.030985831487589204,0.020896719242953145,0.0,0.02435308493860634,0.032519573743715564,0.0,0.0
NCT05513144,0.20386596338126764,0.26599756810055675,0.0,0.0,0.21641547388395452,0.5015432492288215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21285595029630613,0.20454465241437175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22991498039825078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248216491507108,0.0,0.0,0.20591985030834017,0.0,0.1641589132025655,0.0,0.5739335314082173,0.0,0.0,0.0
NCT05957744,0.0,0.0,0.0,0.0,0.13576830796708497,0.0,0.0,0.0,0.0,0.2531612753462552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33455098040824066,0.5769489085922589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14104192436779686,0.6405976528985521,0.0,0.0,0.0,0.20597028006582233,0.0,0.0,0.0,0.0,0.0
NCT05704244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6055504161397091,0.581905740554834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428576264752623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
