advanced,breast,cancer,cells,chemotherapy,clinical,combination,dose,efficacy,evaluate,patients,phase,purpose,safety,study,therapy,treatment,trial,tumor,tumors
0.0,0.0,0.0,0.0,0.0,0.6679230450400496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442303446544141,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.48829519607201366,0.0,0.44398565054774336,0.0,0.0,0.0,0.0,0.25295835250058685,0.0,0.4163252732197333,0.0,0.0,0.0,0.0,0.3871864777523743,0.4209709180277234,0.0
0.24991195141734474,0.0,0.2652959449346614,0.0,0.5002978574202864,0.24734292107452413,0.0,0.0,0.0,0.0,0.563689008782199,0.0,0.0,0.0,0.27560077282269085,0.0,0.4024730137446111,0.0,0.0,0.0
0.3641616754159699,0.39703991320723825,0.19328930697502467,0.0,0.36450698922546004,0.0,0.0,0.0,0.0,0.36537400400325554,0.0,0.0,0.33796407645108545,0.3408560025543858,0.20079719798883067,0.3678304923782153,0.0,0.0,0.0,0.0
0.0,0.0,0.11652944943843238,0.0,0.0,0.0,0.7386075472518857,0.0,0.2292256302432716,0.0,0.2475965845013686,0.19375146896183223,0.0,0.20549384203948623,0.12105577538979821,0.44351221942183655,0.0,0.1894897885539886,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6511981092053547,0.0,0.7589077826504159,0.0
0.0,0.0,0.3573628875537649,0.0,0.0,0.0,0.3775167666870833,0.773116810438288,0.0,0.0,0.0,0.0,0.31242239971817726,0.0,0.1856219250019493,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2303342842242909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48940402913027864,0.0,0.0,0.0,0.7178433136858936,0.4383272644707246,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46380282076509555,0.0,0.36926507586092683,0.504846515305835,0.23212130930341546,0.0,0.0,0.0,0.0,0.0,0.2615326626285146,0.20465685206370002,0.0,0.0,0.0,0.0,0.0,0.20015530117769026,0.4352402045340853,0.0
0.0,0.0,0.46761561149312686,0.0,0.0,0.0,0.0,0.0,0.0,0.8839319203920113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.21265902716356755,0.4361101651498589,0.40103460939524865,0.0,0.4493043409804676,0.0,0.0,0.0,0.22592421504961424,0.0,0.3718318040408103,0.0,0.22091929165534505,0.40469116421610746,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5238376939626637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851818097004213,0.0,0.0
0.1361992663532406,0.0,0.0,0.0,0.0,0.26959834611318734,0.0,0.0,0.0,0.0,0.3840053917595101,0.0,0.0,0.0,0.0,0.0,0.7677017890036073,0.11755428797152719,0.2556232687295376,0.3045948911943421
0.0,0.0859235115770017,0.19520568448639075,0.9722002503225343,0.0,0.025999398102429752,0.0,0.030164775163860357,0.0,0.0,0.059252049266761524,0.0,0.024379631425450125,0.0,0.04345457419294101,0.026534097722426524,0.021152932261760623,0.0,0.024651676183330046,0.0
0.2476430185304966,0.0,0.2628873418614755,0.0,0.0,0.0,0.0,0.0,0.2585634657658509,0.24846744551190067,0.2792856581199884,0.0,0.0,0.0,0.273098612947776,0.2501379458342238,0.19940949489513718,0.0,0.6971768597192831,0.0
0.0,0.0,0.19643375023824705,0.0,0.0,0.366281494378044,0.0,0.0,0.0,0.0,0.8347473685693774,0.0,0.0,0.0,0.20406378012092707,0.0,0.29800411566416773,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6055504161397091,0.581905740554834,0.0,0.0,0.0,0.5428576264752623,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.12023189553345463,0.0,0.10932164965869647,0.0,0.12683612787900309,0.2306560146382717,0.2216496850371971,0.3737124074554273,0.0,0.2050217866583711,0.10338806918587522,0.06090558606104262,0.0,0.0,0.09533610922157061,0.5182739032258181,0.6175634321027431
0.0,0.0,0.4751061076527032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5047421492911988,0.0,0.0,0.0,0.0,0.0,0.7207701084257025,0.0,0.0,0.0
